ProjectName,MethodIdentifier,ReleaseID,Bugginess,LOC,StatementsCount,CyclomaticComplexity,ParameterCount,NestingDepth,DecisionPoints,Feature7,Feature8,Feature9,Feature10
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/createDirectoryLayoutVersionFile(File),release-4.0.0,yes,15,2,1,4,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/fullRead(FileChannel, ByteBuffer)",release-4.0.0,yes,11,3,2,2,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/putHandle(LedgerDescriptor),release-4.0.0,yes,5,1,1,1,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getHandle(long, boolean, byte[])",release-4.0.0,yes,33,5,3,12,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getHandle(long, boolean)",release-4.0.0,yes,30,4,2,9,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/createHandle(long, boolean)",release-4.0.0,yes,3,1,2,0,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/setLastLogMark(long, long)",release-4.0.0,yes,4,1,2,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/markLog(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/rollLog(),release-4.0.0,yes,23,3,0,10,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/readLog(),release-4.0.0,yes,23,4,0,7,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/toString(),release-4.0.0,yes,9,1,0,5,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getLastLogMark(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/isRunning(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/run(),release-4.0.0,yes,77,12,0,29,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/openChannel(long),release-4.0.0,yes,3,1,1,1,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/openChannel(long, long)",release-4.0.0,yes,11,2,2,4,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/shutdown(),release-4.0.0,yes,19,3,0,8,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getLedgerForEntry(ByteBuffer, byte[])",release-4.0.0,yes,11,2,2,6,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/addEntryInternal(LedgerDescriptor, ByteBuffer, WriteCallback, Object)",release-4.0.0,yes,12,2,4,7,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/recoveryAddEntry(ByteBuffer, WriteCallback, Object, byte[])",release-4.0.0,yes,11,1,4,3,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/addEntry(ByteBuffer, WriteCallback, Object, byte[])",release-4.0.0,yes,15,2,4,5,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/fenceLedger(long),release-4.0.0,yes,6,1,1,2,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/readEntry(long, long)",release-4.0.0,yes,11,2,2,5,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/writeComplete(int, long, long, InetSocketAddress, Object)",release-4.0.0,yes,6,2,5,1,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/incCount(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/waitZero(),release-4.0.0,yes,5,2,0,1,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/main(String[]),release-4.0.0,yes,18,2,1,11,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/create(int),release-4.0.0,yes,10,3,1,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/setCode(int),release-4.0.0,yes,3,1,1,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/getCode(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/getMessage(int),release-4.0.0,yes,12,4,1,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/getFileChannel(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/write(ByteBuffer),release-4.0.0,yes,24,5,1,17,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/position(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/size(),release-4.0.0,yes,3,1,0,1,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/flush(boolean),release-4.0.0,yes,14,3,1,5,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/read(ByteBuffer, long)",release-4.0.0,yes,59,16,2,27,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/run(),release-4.0.0,yes,24,6,0,6,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/gc(long),release-4.0.0,yes,8,2,1,2,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/doGcLedgers(),release-4.0.0,yes,13,2,0,3,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/doGcEntryLogs(),release-4.0.0,yes,36,6,0,15,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/createLogId(long),release-4.0.0,yes,17,2,1,11,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/setLastLogId(File, long)",release-4.0.0,yes,14,2,2,4,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/getLastLogId(File),release-4.0.0,yes,22,5,1,3,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/openNewChannel(),release-4.0.0,yes,3,1,0,1,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/flush(),release-4.0.0,yes,5,2,0,1,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/addEntry(long, ByteBuffer)",release-4.0.0,yes,14,2,2,10,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/readEntry(long, long, long)",release-4.0.0,yes,42,7,3,15,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/getChannelForLogId(long),release-4.0.0,yes,21,3,1,8,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/findFile(long),release-4.0.0,yes,9,2,1,3,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/testAndClearSomethingWritten(),release-4.0.0,yes,7,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/extractLedgersFromEntryLogs(),release-4.0.0,yes,64,10,0,20,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/shutdown(),release-4.0.0,yes,12,2,0,4,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/writeMasterKey(byte[]),release-4.0.0,yes,15,3,1,7,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/readMasterKey(),release-4.0.0,yes,19,4,0,6,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/size(),release-4.0.0,yes,7,2,0,0,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/read(ByteBuffer, long)",release-4.0.0,yes,3,1,2,1,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/readAbsolute(ByteBuffer, long)",release-4.0.0,yes,13,3,2,2,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/close(),release-4.0.0,yes,6,2,0,1,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/write(ByteBuffer[], long)",release-4.0.0,yes,19,4,2,3,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/use(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/release(),release-4.0.0,yes,10,4,0,2,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/getFile(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getPageSize(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getEntriesPerPage(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/putIntoTable(HashMap<Long,HashMap<Long,LedgerEntryPage>>, LedgerEntryPage)",release-4.0.0,yes,8,2,2,6,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getFromTable(HashMap<Long,HashMap<Long,LedgerEntryPage>>, Long, Long)",release-4.0.0,yes,7,2,3,2,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getLedgerEntryPage(Long, Long, boolean)",release-4.0.0,yes,13,4,3,3,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/putEntryOffset(long, long, long)",release-4.0.0,yes,20,3,3,6,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getEntryOffset(long, long)",release-4.0.0,yes,22,3,2,6,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getLedgerName(long),release-4.0.0,yes,12,1,1,10,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/checkParents(File),release-4.0.0,yes,9,3,1,3,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/pickDirs(File[]),release-4.0.0,yes,3,1,1,1,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getFileInfo(Long, boolean)",release-4.0.0,yes,40,8,2,15,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/updatePage(LedgerEntryPage),release-4.0.0,yes,19,4,1,8,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/compare(LedgerEntryPage, LedgerEntryPage)",release-4.0.0,yes,4,1,2,2,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/flushLedger(boolean),release-4.0.0,yes,100,20,1,50,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/writeBuffers(Long, List<LedgerEntryPage>, FileInfo, int, int)",release-4.0.0,yes,30,8,5,13,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/grabCleanPage(long, long)",release-4.0.0,yes,56,11,2,28,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getLastEntry(long),release-4.0.0,yes,22,4,1,6,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getActiveLedgers(),release-4.0.0,yes,24,5,0,14,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/deleteLedger(long),release-4.0.0,yes,29,2,1,12,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/setMasterKey(ByteBuffer),release-4.0.0,yes,3,1,1,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/cmpMasterKey(ByteBuffer),release-4.0.0,yes,3,1,1,1,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/getLedgerId(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/incRef(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/decRef(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/getRefCnt(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/setFenced(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/isFenced(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/addEntry(ByteBuffer),release-4.0.0,yes,21,2,1,5,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/readEntry(long),release-4.0.0,yes,44,9,1,14,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/close(),release-4.0.0,yes,2,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/toString(),release-4.0.0,yes,10,2,0,8,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/usePage(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/pin(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/unpin(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/isPinned(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/releasePage(),release-4.0.0,yes,6,2,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/checkPage(),release-4.0.0,yes,5,2,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/equals(Object),release-4.0.0,yes,5,2,1,4,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/hashCode(),release-4.0.0,yes,4,1,0,2,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/setClean(int),release-4.0.0,yes,3,1,1,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/isClean(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/setOffset(long, int)",release-4.0.0,yes,6,1,2,2,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/getOffset(int),release-4.0.0,yes,4,1,1,2,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/zeroPage(),release-4.0.0,yes,6,1,0,4,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/readPage(FileInfo),release-4.0.0,yes,10,3,1,9,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/getPageToWrite(),release-4.0.0,yes,5,1,0,2,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/setLedger(long),release-4.0.0,yes,3,1,1,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/getLedger(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/getVersion(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/setFirstEntry(long),release-4.0.0,yes,6,2,1,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/getFirstEntry(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/inUse(),release-4.0.0,yes,3,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/getLastEntry(),release-4.0.0,yes,8,3,0,1,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/force(boolean),release-4.0.0,no,5,1,1,0,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/lock(long, long, boolean)",release-4.0.0,no,6,1,3,0,0,0,0,0,0,0
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/map(MapMode, long, long)",release-4.0.0,no,6,1,3,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/position(),release-4.0.0,no,5,1,0,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/position(long),release-4.0.0,no,5,1,1,0,0,0,0,0,0,0
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/read(ByteBuffer),release-4.0.0,no,5,1,1,0,0,0,0,0,0,0
